"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
1922.093,"x",NA,176,0.1560538,"y",NA,403,"orangeGrp"
1924.185,"x",NA,190,0.2116592,"y",NA,372,"orangeGrp"
1922.84,"x",NA,181,0.3515695,"y",NA,294,"orangeGrp"
1927.025,"x",NA,209,0.3587444,"y",NA,290,"orangeGrp"
1926.278,"x",NA,204,0.4161435,"y",NA,258,"orangeGrp"
1946.756,"x",NA,341,0.4914798,"y",NA,216,"orangeGrp"
1947.055,"x",NA,343,0.4520179,"y",NA,238,"orangeGrp"
1974.709,"x",NA,528,0.2672646,"y",NA,341,"orangeGrp"
1974.709,"x",NA,528,0.3067265,"y",NA,319,"orangeGrp"
1976.054,"x",NA,537,0.3533632,"y",NA,293,"orangeGrp"
1974.41,"x",NA,526,0.4304933,"y",NA,250,"orangeGrp"
1976.801,"x",NA,542,0.4807175,"y",NA,222,"orangeGrp"
1977.997,"x",NA,550,0.5327354,"y",NA,193,"orangeGrp"
1980.09,"x",NA,564,0.47713,"y",NA,224,"orangeGrp"
1979.94,"x",NA,563,0.4179372,"y",NA,257,"orangeGrp"
1986.069,"x",NA,604,0.3713004,"y",NA,283,"orangeGrp"
1985.77,"x",NA,602,0.3964126,"y",NA,269,"orangeGrp"
1986.069,"x",NA,604,0.2403587,"y",NA,356,"orangeGrp"
1986.069,"x",NA,604,0.2242152,"y",NA,365,"orangeGrp"
1986.368,"x",NA,606,0.2026906,"y",NA,377,"orangeGrp"
1985.919,"x",NA,603,0.1865471,"y",NA,386,"orangeGrp"
1986.069,"x",NA,604,0.1721973,"y",NA,394,"orangeGrp"
2004.454,"x",NA,727,0.2798206,"y",NA,334,"orangeGrp"
2004.454,"x",NA,727,0.3103139,"y",NA,317,"orangeGrp"
2004.454,"x",NA,727,0.32287,"y",NA,310,"orangeGrp"
2004.753,"x",NA,729,0.3408072,"y",NA,300,"orangeGrp"
2004.753,"x",NA,729,0.355157,"y",NA,292,"orangeGrp"
2004.753,"x",NA,729,0.3730942,"y",NA,282,"orangeGrp"
2005.65,"x",NA,735,0.4986547,"y",NA,212,"orangeGrp"
2005.65,"x",NA,735,0.5147982,"y",NA,203,"orangeGrp"
2005.8,"x",NA,736,0.5345291,"y",NA,192,"orangeGrp"
2007.743,"x",NA,749,0.6170404,"y",NA,146,"orangeGrp"
2007.743,"x",NA,749,0.529148,"y",NA,195,"orangeGrp"
2007.743,"x",NA,749,0.5165919,"y",NA,202,"orangeGrp"
2007.743,"x",NA,749,0.4950673,"y",NA,214,"orangeGrp"
2007.593,"x",NA,748,0.4789238,"y",NA,223,"orangeGrp"
2007.892,"x",NA,750,0.464574,"y",NA,231,"orangeGrp"
2007.892,"x",NA,750,0.4484305,"y",NA,240,"orangeGrp"
2007.593,"x",NA,748,0.4269058,"y",NA,252,"orangeGrp"
2006.846,"x",NA,743,0.3300448,"y",NA,306,"orangeGrp"
2006.547,"x",NA,741,0.3426009,"y",NA,299,"orangeGrp"
2006.846,"x",NA,743,0.3533632,"y",NA,293,"orangeGrp"
2006.697,"x",NA,742,0.4161435,"y",NA,258,"orangeGrp"
2006.547,"x",NA,741,0.4412556,"y",NA,244,"orangeGrp"
2006.547,"x",NA,741,0.47713,"y",NA,224,"orangeGrp"
2006.547,"x",NA,741,0.4878924,"y",NA,218,"orangeGrp"
2006.697,"x",NA,742,0.5040359,"y",NA,209,"orangeGrp"
2008.939,"x",NA,757,0.1973094,"y",NA,380,"orangeGrp"
2008.789,"x",NA,756,0.2116592,"y",NA,372,"orangeGrp"
2008.939,"x",NA,757,0.2295964,"y",NA,362,"orangeGrp"
2008.939,"x",NA,757,0.2618834,"y",NA,344,"orangeGrp"
2008.64,"x",NA,755,0.2726457,"y",NA,338,"orangeGrp"
2009.985,"x",NA,764,0.3174888,"y",NA,313,"orangeGrp"
2009.985,"x",NA,764,0.3336323,"y",NA,304,"orangeGrp"
2009.537,"x",NA,761,0.367713,"y",NA,285,"orangeGrp"
2009.686,"x",NA,762,0.3856502,"y",NA,275,"orangeGrp"
2009.985,"x",NA,764,0.4125561,"y",NA,260,"orangeGrp"
2011.48,"x",NA,774,0.2511211,"y",NA,350,"orangeGrp"
2012.078,"x",NA,778,0.2887892,"y",NA,329,"orangeGrp"
2011.48,"x",NA,774,0.3103139,"y",NA,317,"orangeGrp"
2011.779,"x",NA,776,0.3336323,"y",NA,304,"orangeGrp"
2011.779,"x",NA,776,0.3461883,"y",NA,297,"orangeGrp"
2011.779,"x",NA,776,0.3659193,"y",NA,286,"orangeGrp"
2011.779,"x",NA,776,0.3820628,"y",NA,277,"orangeGrp"
2012.078,"x",NA,778,0.4035874,"y",NA,265,"orangeGrp"
2012.227,"x",NA,779,0.4215247,"y",NA,255,"orangeGrp"
2012.078,"x",NA,778,0.4376682,"y",NA,246,"orangeGrp"
2011.928,"x",NA,777,0.4520179,"y",NA,238,"orangeGrp"
2011.928,"x",NA,777,0.4681614,"y",NA,229,"orangeGrp"
2012.227,"x",NA,779,0.4896861,"y",NA,217,"orangeGrp"
2012.227,"x",NA,779,0.5040359,"y",NA,209,"orangeGrp"
2012.078,"x",NA,778,0.5237668,"y",NA,198,"orangeGrp"
2012.227,"x",NA,779,0.5345291,"y",NA,192,"orangeGrp"
2012.227,"x",NA,779,0.5506726,"y",NA,183,"orangeGrp"
2010.583,"x",NA,768,0.4681614,"y",NA,229,"orangeGrp"
2010.732,"x",NA,769,0.4807175,"y",NA,222,"orangeGrp"
2010.732,"x",NA,769,0.496861,"y",NA,213,"orangeGrp"
2010.882,"x",NA,770,0.3946188,"y",NA,270,"orangeGrp"
