Paper # ,Title,Paper_Year,Country,State,Lat,Long,Treatment1,Treatment2,Treatment3,HI,Yield,Biomass,Methodology
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,April/22,MGI,1971,0.37,2404,6497,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,April/22,MGII,1971,0.39,2801,7182,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,April/22,MGIII,1971,0.34,3422,10065,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,April/22,MGIV,1971,0.35,3257,9306,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,April/22,MGV,1971,0.25,2234,8936,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,May/17,MGI,1971,0.34,2309,6791,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,May/17,MGII,1971,0.38,3281,8634,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,May/17,MGIII,1971,0.33,2830,8576,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,May/17,MGIV,1971,0.33,2998,9087,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,May/17,MGV,1971,0.26,2036,7831,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,June/1,MGI,1971,0.37,2430,6568,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,June/1,MGII,1971,0.37,2763,7462,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,June/1,MGIII,1971,0.34,2826,8311,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,June/1,MGIV,1971,0.33,2685,8140,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,June/1,MGV,1971,0.24,2142,8925,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,June/21,MGI,1971,0.37,2099,5673,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,June/21,MGII,1971,0.41,2511,6124,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,June/21,MGIII,1971,0.35,2267,6485,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,June/21,MGIV,1971,0.34,1995,5868,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,June/21,MGV,1971,0.27,1999,7404,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,July/22,MGI,1971,0.31,888,2865,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,July/22,MGII,1971,0.35,1101,3146,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,July/22,MGIII,1971,0.27,928,3437,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,July/22,MGIV,1971,0.29,777,2679,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,July/22,MGV,1971,0.27,1158,4289,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,April/29,MGI,1973,0.39,2034,5215,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,April/29,MGII,1973,0.41,2345,5719,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,April/29,MGIII,1973,0.34,2260,6647,Yield/biological yield (maximum biomass at R6)
1,Harvest Index of Soybeans as Affected by Planting Date and Maturity Rating,1979,USA,Missouri,38.95,-92.33,April/29,MGIV,1973,0.33,2623,7942,Yield/biological yield (maximum biomass at R6)
