x.calibrated,x.label,x.units,x.coord,y.calibrated,y.label,y.units,y.coord,group
1927.987,x,NA,155,39.30233,y,NA,282,orangeGrp
1928.149,x,NA,156,43.02326,y,NA,266,orangeGrp
1928.149,x,NA,156,45.34884,y,NA,256,orangeGrp
1928.149,x,NA,156,50,y,NA,236,orangeGrp
1928.204,x,NA,156.3392857,47.65365,y,NA,246.0892857,auto
1931.883,x,NA,179,33.02326,y,NA,309,orangeGrp
1932.127,x,NA,180.5,30.69767,y,NA,319,auto
1932.156,x,NA,180.6792453,35.66477,y,NA,297.6415094,auto
1932.177,x,NA,180.8118812,39.42666,y,NA,281.4653465,auto
1932.208,x,NA,181,44.18605,y,NA,261,orangeGrp
1932.37,x,NA,182,42.09302,y,NA,270,orangeGrp
1938.052,x,NA,217,53.72093,y,NA,220,orangeGrp
1938.052,x,NA,217,33.25581,y,NA,308,orangeGrp
1938.052,x,NA,217,34.88372,y,NA,301,orangeGrp
1938.156,x,NA,217.641791,42.25963,y,NA,269.2835821,auto
1938.156,x,NA,217.6415094,44.57657,y,NA,259.3207547,auto
1938.214,x,NA,218,39.15798,y,NA,282.6206897,auto
1938.214,x,NA,218,49.30233,y,NA,239,orangeGrp
1946.981,x,NA,272,43.48837,y,NA,264,orangeGrp
1946.981,x,NA,272,45.11628,y,NA,257,orangeGrp
1947.143,x,NA,273,34.65116,y,NA,302,orangeGrp
1947.143,x,NA,273,37.67442,y,NA,289,orangeGrp
1947.174,x,NA,273.1926606,40.46938,y,NA,276.9816514,auto
1951.039,x,NA,297,47.90698,y,NA,245,orangeGrp
1951.039,x,NA,297,46.04651,y,NA,253,orangeGrp
1951.039,x,NA,297,44.18605,y,NA,261,orangeGrp
1951.165,x,NA,297.7741935,41.67292,y,NA,271.8064516,cluster
1957.857,x,NA,339,41.86047,y,NA,271,orangeGrp
1958.019,x,NA,340,50,y,NA,236,orangeGrp
1958.174,x,NA,340.952381,39.3983,y,NA,281.5873016,auto
1962.89,x,NA,370,51.39535,y,NA,230,orangeGrp
1962.89,x,NA,370,46.04651,y,NA,253,orangeGrp
1963.052,x,NA,371,44.18605,y,NA,261,orangeGrp
1963.151,x,NA,371.6111111,30.83979,y,NA,318.3888889,auto
1963.162,x,NA,371.6792453,33.8043,y,NA,305.6415094,auto
1963.177,x,NA,371.7676768,42.20108,y,NA,269.5353535,auto
1963.214,x,NA,372,22.7907,y,NA,353,orangeGrp
1965.147,x,NA,383.9056604,36.71347,y,NA,293.1320755,auto
1965.162,x,NA,384,33.25581,y,NA,308,orangeGrp
1965.162,x,NA,384,41.16279,y,NA,274,orangeGrp
1966.948,x,NA,395,45.34884,y,NA,256,orangeGrp
1966.948,x,NA,395,40.69767,y,NA,276,orangeGrp
1967.11,x,NA,396,47.90698,y,NA,245,orangeGrp
1967.136,x,NA,396.1578947,43.80661,y,NA,262.6315789,auto
1967.273,x,NA,397,49.76744,y,NA,237,orangeGrp
1968.166,x,NA,402.5,36.27907,y,NA,295,auto
1968.247,x,NA,403,40.69767,y,NA,276,orangeGrp
1970.032,x,NA,414,47.2093,y,NA,248,orangeGrp
1970.032,x,NA,414,44.4186,y,NA,260,orangeGrp
1970.032,x,NA,414,41.39535,y,NA,273,orangeGrp
1970.032,x,NA,414,39.53488,y,NA,281,orangeGrp
1970.118,x,NA,414.5272727,31.34461,y,NA,316.2181818,auto
1970.13,x,NA,414.6034483,38.27987,y,NA,286.3965517,auto
1972.143,x,NA,427,38.83721,y,NA,284,orangeGrp
1972.143,x,NA,427,50,y,NA,236,orangeGrp
1972.154,x,NA,427.0666667,42.5155,y,NA,268.1833333,auto
1972.176,x,NA,427.2068966,45.63753,y,NA,254.7586207,auto
1974.903,x,NA,444,41.16279,y,NA,274,orangeGrp
1974.903,x,NA,444,43.72093,y,NA,263,orangeGrp
1975.158,x,NA,445.5731707,46.76971,y,NA,249.8902439,auto
1976.851,x,NA,456,44.4186,y,NA,260,orangeGrp
1976.851,x,NA,456,45.81395,y,NA,254,orangeGrp
1976.851,x,NA,456,46.97674,y,NA,249,orangeGrp
1977.135,x,NA,457.75,38.13953,y,NA,287,auto
1977.175,x,NA,458,40.46512,y,NA,277,orangeGrp
1977.825,x,NA,462,37.90698,y,NA,288,orangeGrp
1978.114,x,NA,463.7818182,34.77378,y,NA,301.4727273,auto
1978.312,x,NA,465,47.67442,y,NA,246,orangeGrp
1978.806,x,NA,468.0467836,43.88549,y,NA,262.2923977,cluster
1978.961,x,NA,469,38.60465,y,NA,285,orangeGrp
1978.961,x,NA,469,41.62791,y,NA,272,orangeGrp
1979.123,x,NA,470,34.4186,y,NA,303,orangeGrp
1979.123,x,NA,470,36.51163,y,NA,294,orangeGrp
1979.123,x,NA,470,49.76744,y,NA,237,orangeGrp
1979.123,x,NA,470,51.62791,y,NA,229,orangeGrp
1979.19,x,NA,470.4090909,39.55955,y,NA,280.8939394,auto
1981.721,x,NA,486,46.04651,y,NA,253,orangeGrp
1982.045,x,NA,488,39.30233,y,NA,282,orangeGrp
1982.133,x,NA,488.5403226,43.44336,y,NA,264.1935484,cluster
1983.669,x,NA,498,46.97674,y,NA,249,orangeGrp
1983.994,x,NA,500,36.27907,y,NA,295,orangeGrp
1983.994,x,NA,500,49.06977,y,NA,240,orangeGrp
1983.994,x,NA,500,42.55814,y,NA,268,orangeGrp
1984.672,x,NA,504.1821705,41.38543,y,NA,273.0426357,cluster
1984.968,x,NA,506,38.60465,y,NA,285,orangeGrp
1985.13,x,NA,507,45.11628,y,NA,257,auto
1985.165,x,NA,507.2181818,32.91332,y,NA,309.4727273,auto
1987.727,x,NA,523,50.93023,y,NA,232,orangeGrp
1987.89,x,NA,524,49.30233,y,NA,239,orangeGrp
1987.89,x,NA,524,47.44186,y,NA,247,orangeGrp
1988.052,x,NA,525,39.30233,y,NA,282,orangeGrp
1988.108,x,NA,525.3466667,40.92403,y,NA,275.0266667,auto
1988.542,x,NA,528.015873,43.93503,y,NA,262.0793651,auto
1988.622,x,NA,528.5092593,34.16882,y,NA,304.0740741,auto
1988.701,x,NA,529,45.81395,y,NA,254,auto
1989.132,x,NA,531.6547619,38.21152,y,NA,286.6904762,auto
1989.188,x,NA,532,41.86047,y,NA,271,orangeGrp
1989.188,x,NA,532,53.48837,y,NA,221,orangeGrp
1989.351,x,NA,533,43.72093,y,NA,263,orangeGrp
1990,x,NA,537,50.69767,y,NA,233,orangeGrp
1990.146,x,NA,537.9,48.46047,y,NA,242.62,auto
1991.199,x,NA,544.3888889,39.21189,y,NA,282.3888889,auto
1991.223,x,NA,544.5322581,44.3886,y,NA,260.1290323,auto
1992.597,x,NA,553,50,y,NA,236,orangeGrp
1993.035,x,NA,555.6938776,43.74941,y,NA,262.877551,auto
1993.734,x,NA,560,44.65116,y,NA,259,orangeGrp
1993.782,x,NA,560.2941176,45.87779,y,NA,253.7254902,auto
1993.896,x,NA,561,40,y,NA,279,orangeGrp
1993.896,x,NA,561,43.25581,y,NA,265,orangeGrp
1994.14,x,NA,562.5,37.55814,y,NA,289.5,auto
1994.87,x,NA,567,56.27907,y,NA,209,orangeGrp
1995.148,x,NA,568.7142857,47.7907,y,NA,245.5,auto
1995.195,x,NA,569,52.55814,y,NA,225,orangeGrp
1996.006,x,NA,574,50.93023,y,NA,232,orangeGrp
1996.006,x,NA,574,42.7907,y,NA,267,orangeGrp
1996.095,x,NA,574.5423729,52.838,y,NA,223.7966102,auto
1996.124,x,NA,574.7234043,41.03909,y,NA,274.5319149,auto
1996.331,x,NA,576,44.4186,y,NA,260,orangeGrp
1996.981,x,NA,580,53.25581,y,NA,222,orangeGrp
1996.981,x,NA,580,41.86047,y,NA,271,orangeGrp
1997.101,x,NA,580.7425743,45.87037,y,NA,253.7574257,cluster
1997.143,x,NA,581,39.24077,y,NA,282.2647059,auto
1997.305,x,NA,582,44.18605,y,NA,261,orangeGrp
1997.305,x,NA,582,47.44186,y,NA,247,orangeGrp
1997.792,x,NA,585,51.62791,y,NA,229,orangeGrp
1998.117,x,NA,587,37.44186,y,NA,290,auto
1998.279,x,NA,588,41.39535,y,NA,273,orangeGrp
1999.74,x,NA,597,51.62791,y,NA,229,orangeGrp
1999.903,x,NA,598,50,y,NA,236,orangeGrp
1999.903,x,NA,598,36.04651,y,NA,296,orangeGrp
2000.146,x,NA,599.5,45.56117,y,NA,255.0869565,auto
2000.476,x,NA,601.5302013,39.769,y,NA,279.9932886,cluster
2000.714,x,NA,603,52.55814,y,NA,225,orangeGrp
2000.877,x,NA,604,56.27907,y,NA,209,orangeGrp
2001.039,x,NA,605,46.04651,y,NA,253,orangeGrp
2001.136,x,NA,605.5967742,42.76444,y,NA,267.1129032,auto
2001.201,x,NA,606,44.4186,y,NA,260,orangeGrp
2001.201,x,NA,606,47.90698,y,NA,245,orangeGrp
2001.201,x,NA,606,49.76744,y,NA,237,orangeGrp
2001.201,x,NA,606,52.09302,y,NA,227,orangeGrp
2003.111,x,NA,617.7647059,42.3803,y,NA,268.7647059,auto
2003.312,x,NA,619,46.51163,y,NA,251,orangeGrp
2003.799,x,NA,622,53.25581,y,NA,222,orangeGrp
2004.123,x,NA,624,48.02326,y,NA,244.5,auto
2004.599,x,NA,626.9310345,50.40364,y,NA,234.2643678,auto
2004.935,x,NA,629,51.39535,y,NA,230,orangeGrp
2004.935,x,NA,629,53.25581,y,NA,222,orangeGrp
2004.935,x,NA,629,48.60465,y,NA,242,orangeGrp
2005.097,x,NA,630,45.23256,y,NA,256.5,auto
2005.097,x,NA,630,42.09302,y,NA,270,orangeGrp
2005.909,x,NA,635,46.97674,y,NA,249,orangeGrp
2006.071,x,NA,636,44.88372,y,NA,258,orangeGrp
2006.153,x,NA,636.5,43.48837,y,NA,264,auto
2007.857,x,NA,647,46.74419,y,NA,250,orangeGrp
2008.019,x,NA,648,53.02326,y,NA,223,orangeGrp
2008.019,x,NA,648,44.18605,y,NA,261,orangeGrp
2008.019,x,NA,648,39.30233,y,NA,282,orangeGrp
2008.094,x,NA,648.4615385,47.80561,y,NA,245.4358974,auto
2008.101,x,NA,648.5,40.64922,y,NA,276.2083333,auto
2008.119,x,NA,648.6111111,34.7416,y,NA,301.6111111,auto
