x.calibrated,x.label,x.units,x.coord,y.calibrated,y.label,y.units,y.coord,group
1968.084,x,NA,336,34.09267,y,NA,294.0606061,auto
1923.108,x,NA,58.94594595,43.61322,y,NA,253.027027,auto
1943.098,x,NA,182.0808081,42.3469,y,NA,258.4848485,auto
2002.039,x,NA,545.1587302,40.88314,y,NA,264.7936508,auto
1958.147,x,NA,274.7857143,38.84654,y,NA,273.5714286,auto
2001.032,x,NA,538.9558824,44.58851,y,NA,248.8235294,auto
1987.078,x,NA,453,45.82367,y,NA,243.5,auto
1964.07,x,NA,311.2711864,38.9162,y,NA,273.2711864,auto
1974.039,x,NA,372.6792453,46.08852,y,NA,242.3584906,auto
1940.15,x,NA,163.9230769,33.21435,y,NA,297.8461538,auto
1992.064,x,NA,483.7142857,28.88631,y,NA,316.5,auto
1984.075,x,NA,434.5,46.70202,y,NA,239.7142857,auto
2006.007,x,NA,569.6034483,40.92727,y,NA,264.6034483,auto
2004.051,x,NA,557.5538462,53.27146,y,NA,211.4,auto
1993.084,x,NA,490,25.87007,y,NA,329.5,auto
2003.729,x,NA,555.5729167,43.05153,y,NA,255.4479167,auto
1928.132,x,NA,89.89473684,40.41763,y,NA,266.8,auto
1978.068,x,NA,397.5,45.82367,y,NA,243.5,auto
1979.137,x,NA,404.0833333,42.86221,y,NA,256.2638889,auto
1958.086,x,NA,274.4090909,35.29143,y,NA,288.8939394,auto
1927.094,x,NA,83.5,26.38382,y,NA,327.2857143,auto
1994.058,x,NA,496,47.56381,y,NA,236,auto
1992.155,x,NA,484.2747253,41.88317,y,NA,260.4835165,auto
2001.134,x,NA,539.5846154,50.41228,y,NA,223.7230769,auto
1983.035,x,NA,428.0943396,44.34619,y,NA,249.8679245,auto
1940.116,x,NA,163.7142857,36.54292,y,NA,283.5,auto
1960.067,x,NA,286.6111111,34.661,y,NA,291.6111111,auto
1948.068,x,NA,212.6964286,48.98492,y,NA,229.875,auto
1974.091,x,NA,373,31.78654,y,NA,304,auto
1974.091,x,NA,373,23.84635,y,NA,338.2222222,auto
2003.002,x,NA,551.0943396,51.77078,y,NA,217.8679245,auto
1948.069,x,NA,212.7029703,44.0192,y,NA,251.2772277,auto
1986.479,x,NA,449.3085106,38.91001,y,NA,273.2978723,auto
2004.042,x,NA,557.5,49.88399,y,NA,226,auto
1995.091,x,NA,502.3584906,57.23416,y,NA,194.3207547,auto
1991.997,x,NA,483.3035714,45.59165,y,NA,244.5,auto
1992.047,x,NA,483.6111111,50.67028,y,NA,222.6111111,auto
1934.075,x,NA,126.5,30.51044,y,NA,309.5,auto
1960.098,x,NA,286.8035714,39.31057,y,NA,271.5714286,auto
1964.109,x,NA,311.5102041,31.00526,y,NA,307.3673469,auto
1927.658,x,NA,86.97058824,33.33902,y,NA,297.3088235,auto
1934.097,x,NA,126.6363636,35.40744,y,NA,288.3939394,auto
1974.091,x,NA,373,40.01136,y,NA,268.5510204,auto
1967.976,x,NA,335.3333333,39.26431,y,NA,271.7708333,auto
2002.863,x,NA,550.2380952,45.83287,y,NA,243.4603175,auto
1981.043,x,NA,415.8235294,38.3422,y,NA,275.745098,auto
1943.084,x,NA,182,39.01928,y,NA,272.8269231,auto
1943.113,x,NA,182.1764706,34.27961,y,NA,293.254902,auto
2007.045,x,NA,576,42.22738,y,NA,259,auto
1996.006,x,NA,508,35.49884,y,NA,288,auto
1985.942,x,NA,446,41.06729,y,NA,264,auto
1990.162,x,NA,472,41.53132,y,NA,262,auto
1958.019,x,NA,274,44.08353,y,NA,251,auto
1998.036,x,NA,520.5,37.70302,y,NA,278.5,auto
1997.95,x,NA,519.969697,50.94565,y,NA,221.4242424,auto
1940.081,x,NA,163.5,45.0116,y,NA,247,auto
1999.091,x,NA,527,40.83527,y,NA,265,auto
1994.573,x,NA,499.1705426,38.55105,y,NA,274.8449612,cluster
1994.738,x,NA,500.1836735,43.54689,y,NA,253.3129252,cluster
1996.448,x,NA,510.7175573,46.44622,y,NA,240.8167939,cluster
2000.676,x,NA,536.7614679,42.74889,y,NA,256.7522936,cluster
1923.106,x,NA,58.936,35.54339,y,NA,287.808,cluster
2006.589,x,NA,573.1901408,48.14712,y,NA,233.4859155,cluster
1997.949,x,NA,519.9636364,43.58434,y,NA,253.1515152,cluster
1989.896,x,NA,470.3615385,44.56184,y,NA,248.9384615,cluster
1983.552,x,NA,431.2815534,50.03266,y,NA,225.3592233,cluster
1999.606,x,NA,530.1735537,47.30686,y,NA,237.107438,cluster
1927.356,x,NA,85.11278195,36.57345,y,NA,283.3684211,cluster
1990.571,x,NA,474.5142857,37.46326,y,NA,279.5333333,cluster
1922.792,x,NA,57,24.59397,y,NA,335,orangeGrp
1923.117,x,NA,59,28.7703,y,NA,317,orangeGrp
1922.792,x,NA,57,32.94664,y,NA,299,orangeGrp
1922.63,x,NA,56,38.28306,y,NA,276,orangeGrp
1922.955,x,NA,58,40.83527,y,NA,265,orangeGrp
1928.149,x,NA,90,24.59397,y,NA,335,orangeGrp
1927.825,x,NA,88,28.7703,y,NA,317,orangeGrp
1926.851,x,NA,82,31.32251,y,NA,306,orangeGrp
1927.175,x,NA,84,32.94664,y,NA,299,orangeGrp
1927.175,x,NA,84,34.80278,y,NA,291,orangeGrp
1927.013,x,NA,83,39.44316,y,NA,271,orangeGrp
1927.013,x,NA,83,42.69142,y,NA,257,orangeGrp
1928.149,x,NA,90,37.12297,y,NA,281,orangeGrp
1933.994,x,NA,126,27.37819,y,NA,323,orangeGrp
1934.156,x,NA,127,29.00232,y,NA,316,orangeGrp
1933.831,x,NA,125,37.12297,y,NA,281,orangeGrp
1940,x,NA,163,29.23434,y,NA,315,orangeGrp
1943.084,x,NA,182,27.37819,y,NA,323,orangeGrp
1939.838,x,NA,162,42.22738,y,NA,259,orangeGrp
1940,x,NA,163,44.08353,y,NA,251,orangeGrp
1943.084,x,NA,182,33.64269,y,NA,296,orangeGrp
1942.922,x,NA,181,32.01856,y,NA,303,orangeGrp
1947.792,x,NA,211,32.71462,y,NA,300,orangeGrp
1947.955,x,NA,212,37.12297,y,NA,281,orangeGrp
1947.955,x,NA,212,41.2993,y,NA,263,orangeGrp
1958.019,x,NA,274,30.16241,y,NA,311,orangeGrp
1957.857,x,NA,273,33.41067,y,NA,297,orangeGrp
1957.695,x,NA,272,36.89095,y,NA,282,orangeGrp
1957.695,x,NA,272,42.92343,y,NA,256,orangeGrp
1960.13,x,NA,287,29.00232,y,NA,316,orangeGrp
1960.13,x,NA,287,30.85847,y,NA,308,orangeGrp
1959.968,x,NA,286,41.53132,y,NA,262,orangeGrp
1963.864,x,NA,310,45.47564,y,NA,245,orangeGrp
1964.026,x,NA,311,43.61949,y,NA,253,orangeGrp
1964.188,x,NA,312,37.35499,y,NA,280,orangeGrp
1964.026,x,NA,311,35.73086,y,NA,287,orangeGrp
1964.026,x,NA,311,32.71462,y,NA,300,orangeGrp
1964.188,x,NA,312,29.69838,y,NA,313,orangeGrp
1967.922,x,NA,335,38.05104,y,NA,277,orangeGrp
1967.922,x,NA,335,41.76334,y,NA,261,orangeGrp
1971.006,x,NA,354,46.40371,y,NA,241,orangeGrp
1970.844,x,NA,353,44.54756,y,NA,249,orangeGrp
1971.169,x,NA,355,41.99536,y,NA,260,orangeGrp
1971.006,x,NA,354,40.13921,y,NA,268,orangeGrp
1971.006,x,NA,354,38.28306,y,NA,276,orangeGrp
1971.006,x,NA,354,36.1949,y,NA,285,orangeGrp
1973.766,x,NA,371,33.64269,y,NA,296,orangeGrp
1973.766,x,NA,371,35.49884,y,NA,288,orangeGrp
1973.766,x,NA,371,37.58701,y,NA,279,orangeGrp
1974.091,x,NA,373,41.2993,y,NA,263,orangeGrp
1973.929,x,NA,372,43.85151,y,NA,252,orangeGrp
1977.825,x,NA,396,48.02784,y,NA,234,orangeGrp
1977.987,x,NA,397,44.08353,y,NA,251,orangeGrp
1977.825,x,NA,396,42.22738,y,NA,259,orangeGrp
1977.825,x,NA,396,40.60325,y,NA,266,orangeGrp
1977.825,x,NA,396,39.44316,y,NA,271,orangeGrp
1977.825,x,NA,396,37.58701,y,NA,279,orangeGrp
1977.662,x,NA,395,35.96288,y,NA,286,orangeGrp
1977.987,x,NA,397,34.57077,y,NA,292,orangeGrp
1980.747,x,NA,414,32.71462,y,NA,300,orangeGrp
1980.909,x,NA,415,37.12297,y,NA,281,orangeGrp
1981.071,x,NA,416,39.90719,y,NA,269,orangeGrp
1981.071,x,NA,416,42.92343,y,NA,256,orangeGrp
1981.234,x,NA,417,44.77958,y,NA,248,orangeGrp
1982.857,x,NA,427,30.62645,y,NA,309,orangeGrp
1984.156,x,NA,435,32.94664,y,NA,299,orangeGrp
1986.753,x,NA,451,25.52204,y,NA,331,orangeGrp
1986.916,x,NA,452,32.01856,y,NA,303,orangeGrp
1985.779,x,NA,445,33.41067,y,NA,297,orangeGrp
