"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
907.377,"x",NA,277,0.359633,"y",NA,261,"orangeGrp"
912.2951,"x",NA,279,0.3779817,"y",NA,251,"orangeGrp"
909.8361,"x",NA,278,0.3908257,"y",NA,244,"orangeGrp"
907.377,"x",NA,277,0.4036697,"y",NA,237,"orangeGrp"
1018.033,"x",NA,322,0.3798165,"y",NA,250,"orangeGrp"
1013.115,"x",NA,320,0.4,"y",NA,239,"orangeGrp"
1015.574,"x",NA,321,0.4146789,"y",NA,231,"orangeGrp"
1018.033,"x",NA,322,0.4256881,"y",NA,225,"orangeGrp"
1037.705,"x",NA,330,0.4715596,"y",NA,200,"orangeGrp"
1035.246,"x",NA,329,0.4568807,"y",NA,208,"orangeGrp"
1037.705,"x",NA,330,0.4917431,"y",NA,189,"orangeGrp"
1143.443,"x",NA,373,0.4275229,"y",NA,224,"orangeGrp"
1140.984,"x",NA,372,0.4385321,"y",NA,218,"orangeGrp"
1140.984,"x",NA,372,0.4568807,"y",NA,208,"orangeGrp"
1145.902,"x",NA,374,0.4972477,"y",NA,186,"orangeGrp"
1143.443,"x",NA,373,0.5247706,"y",NA,171,"orangeGrp"
1182.787,"x",NA,389,0.4899083,"y",NA,190,"orangeGrp"
1182.787,"x",NA,389,0.506422,"y",NA,181,"orangeGrp"
1168.033,"x",NA,383,0.5155963,"y",NA,176,"orangeGrp"
1168.033,"x",NA,383,0.533945,"y",NA,166,"orangeGrp"
1168.033,"x",NA,383,0.5541284,"y",NA,155,"orangeGrp"
1187.705,"x",NA,391,0.5541284,"y",NA,155,"orangeGrp"
1187.705,"x",NA,391,0.533945,"y",NA,166,"orangeGrp"
1187.705,"x",NA,391,0.5192661,"y",NA,174,"orangeGrp"
1212.295,"x",NA,401,0.4880734,"y",NA,191,"orangeGrp"
1207.377,"x",NA,399,0.5100917,"y",NA,179,"orangeGrp"
1204.918,"x",NA,398,0.5302752,"y",NA,168,"orangeGrp"
1244.262,"x",NA,414,0.4844037,"y",NA,193,"orangeGrp"
1244.262,"x",NA,414,0.5009174,"y",NA,184,"orangeGrp"
1244.262,"x",NA,414,0.5192661,"y",NA,174,"orangeGrp"
1288.525,"x",NA,432,0.533945,"y",NA,166,"orangeGrp"
1290.984,"x",NA,433,0.5431193,"y",NA,161,"orangeGrp"
1288.525,"x",NA,432,0.559633,"y",NA,152,"orangeGrp"
1320.492,"x",NA,445,0.5486239,"y",NA,158,"orangeGrp"
1318.033,"x",NA,444,0.5357798,"y",NA,165,"orangeGrp"
1318.033,"x",NA,444,0.5211009,"y",NA,173,"orangeGrp"
1315.574,"x",NA,443,0.5100917,"y",NA,179,"orangeGrp"
1303.279,"x",NA,438,0.493578,"y",NA,188,"orangeGrp"
1303.279,"x",NA,438,0.4752294,"y",NA,198,"orangeGrp"
1303.279,"x",NA,438,0.4623853,"y",NA,205,"orangeGrp"
1468.033,"x",NA,505,0.3981651,"y",NA,240,"orangeGrp"
1463.115,"x",NA,503,0.412844,"y",NA,232,"orangeGrp"
1465.574,"x",NA,504,0.4550459,"y",NA,209,"orangeGrp"
1426.23,"x",NA,488,0.4972477,"y",NA,186,"orangeGrp"
1426.23,"x",NA,488,0.5192661,"y",NA,174,"orangeGrp"
1426.23,"x",NA,488,0.5357798,"y",NA,165,"orangeGrp"
1482.787,"x",NA,511,0.4605505,"y",NA,206,"orangeGrp"
1485.246,"x",NA,512,0.4954128,"y",NA,187,"orangeGrp"
1482.787,"x",NA,511,0.5082569,"y",NA,180,"orangeGrp"
1512.295,"x",NA,523,0.4036697,"y",NA,237,"orangeGrp"
1512.295,"x",NA,523,0.4458716,"y",NA,214,"orangeGrp"
1504.918,"x",NA,520,0.4678899,"y",NA,202,"orangeGrp"
1507.377,"x",NA,521,0.4825688,"y",NA,194,"orangeGrp"
1507.377,"x",NA,521,0.4990826,"y",NA,185,"orangeGrp"
1613.115,"x",NA,564,0.440367,"y",NA,217,"orangeGrp"
1615.574,"x",NA,565,0.4587156,"y",NA,207,"orangeGrp"
1620.492,"x",NA,567,0.4770642,"y",NA,197,"orangeGrp"
1618.033,"x",NA,566,0.5009174,"y",NA,184,"orangeGrp"
1618.033,"x",NA,566,0.5155963,"y",NA,176,"orangeGrp"
1613.115,"x",NA,564,0.5412844,"y",NA,162,"orangeGrp"
1615.574,"x",NA,565,0.5559633,"y",NA,154,"orangeGrp"
1615.574,"x",NA,565,0.5706422,"y",NA,146,"orangeGrp"
1566.393,"x",NA,545,0.5174312,"y",NA,175,"orangeGrp"
1571.311,"x",NA,547,0.493578,"y",NA,188,"orangeGrp"
1566.393,"x",NA,545,0.4844037,"y",NA,193,"orangeGrp"
1733.607,"x",NA,613,0.4110092,"y",NA,233,"orangeGrp"
1728.689,"x",NA,611,0.4238532,"y",NA,226,"orangeGrp"
