"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
1971.018,"x",NA,367.869047619048,0.5233602,"y",NA,223.449404761905,"auto"
1927.293,"x",NA,183.859950859951,0.3433404,"y",NA,451.174447174447,"auto"
1974.184,"x",NA,381.19170984456,0.5142026,"y",NA,235.033678756477,"auto"
1983.945,"x",NA,422.268292682927,0.5252097,"y",NA,221.109756097561,"auto"
1997.888,"x",NA,480.945137157107,0.6326999,"y",NA,85.1346633416459,"auto"
1963.921,"x",NA,338.002631578947,0.5131163,"y",NA,236.407894736842,"auto"
1928.181,"x",NA,187.593596059113,0.4953601,"y",NA,258.869458128079,"auto"
1934.231,"x",NA,213.055023923445,0.4441818,"y",NA,323.61004784689,"auto"
1995.959,"x",NA,472.8275,0.6077945,"y",NA,116.64,"auto"
1988.846,"x",NA,442.891959798995,0.5983673,"y",NA,128.565326633166,"auto"
1943.226,"x",NA,250.91,0.5223913,"y",NA,224.675,"auto"
1986.909,"x",NA,434.743209876543,0.5757078,"y",NA,157.22962962963,"auto"
1993.811,"x",NA,463.787341772152,0.5223545,"y",NA,224.721518987342,"auto"
1968.055,"x",NA,355.396449704142,0.5135323,"y",NA,235.881656804734,"auto"
1960.041,"x",NA,321.671641791045,0.4329892,"y",NA,337.768656716418,"auto"
1964.087,"x",NA,338.701492537313,0.472273,"y",NA,288.074626865672,"auto"
1958.085,"x",NA,313.441975308642,0.5180549,"y",NA,230.160493827161,"auto"
1985.856,"x",NA,430.308612440191,0.5497456,"y",NA,190.071770334928,"auto"
1958.101,"x",NA,313.507537688442,0.4709854,"y",NA,289.70351758794,"auto"
2004.652,"x",NA,509.408658922914,0.5915811,"y",NA,137.14994720169,"cluster"
2003.604,"x",NA,505,0.5853755,"y",NA,145,"orangeGrp"
2002.416,"x",NA,500,0.6003953,"y",NA,126,"orangeGrp"
2007.406,"x",NA,521,0.5932806,"y",NA,135,"orangeGrp"
