Biomass,Yield
6470,3600
6190,3000
5550,2720
5690,2550
5520,2450
5560,2380
5630,2410
5350,2260
7160,3960
7200,3910
8230,3840
7290,3670
6340,2420
6150,2470
6240,2350
5740,2120
5524.9400000000005,2074.79
6970.97,2458.09
6407.889999999999,2210.89
6286.01,2138.68
5845.91,1977.58
7050.78,2302.55
6772.26,2319.21
6846.43,2619.18
6874.950000000001,2666.4
6722.66,2510.86
7269.25,2519.19
6791.549999999999,2408.9
6969.6,2765
6510.35,2580.3
5454.18,2419.2
5237.69,2094.24
5758.25,2426.15
6420.6900000000005,2667.79
5945.43,2428.93
6443.4400000000005,2566.41
6667.29,2574.74
6957.74,2758.06
6461.14,2813.61
6666.66,2894.16
5941.1,2463.65
5756.43,2024.8
8337.61,3008.03
7231.92,2266.44
7371.9,2527.95
6502.380952380952,2731
6502.380952380952,2731
6502.380952380952,2731
6502.380952380952,2731
6502.380952380952,2731
8925.21212121212,4396
9401.379310344828,3840
9035.5,4252
9575.999999999998,3724
9567.862068965518,3908
9372,3828
9027.870967741936,4056
9018.5,4244
9258.666666666668,3968
9411.42857142857,3660
10104,3368
9603.555555555557,3552.0000000000005
10437.333333333334,3296
10056.000000000002,3352.0000000000005
9904.615384615383,3479.9999999999995
9430.51851851852,3488.0000000000005
9376.444444444443,3468
9912,3304
8000,3260
8090,3270
1070,4270
1043,3770
7660,2880
9770,3090
1164,3600
1050,3500
5910,1630
8630,2550
1020,3210
9390,2690
7946.788235294117,4093.8
7138.921621621622,4192.7
7524.582352941176,3876.3
6994.595263157895,4287.01
7286.960606060606,3589.1
8952.3,3836.7
7584.952941176471,3907.4
6779.806451612903,3046
5310,2090
5470,2060
4100,1520
4900,1800
5530,2200
4440,1670
9150,3600
5010,1890
.,2633
.,2000
.,3178
.,2274
.,2331
.,3178.1
.,1228
.,1616.2
.,1746.8
.,2565.9
.,2070.6
.,2144
.,2857
.,1167.3
3760,2180
4100,2550
3360.655737704918,2050
2645.1612903225805,1640
1283.3333333333335,770
2639.344262295082,1610
1928.5714285714284,1080
.,.
16597.674418604653,7137
14829.166666666668,7118
13902.272727272728,6117
12902.439024390245,5290
14781.39534883721,6356
14539.583333333334,6979
15054.347826086956,6925
13548.78048780488,5555
12268.888888888889,5521
17278.048780487807,7084
16205.263157894737,6158
17289.130434782608,7953
15643.181818181818,6883
16265.217391304348,7482
6810.63829787234,3201
5550,1998
3823.3333333333335,2294
3807.6923076923076,1980
5716.071428571428,3201
7589.795918367347,3719
6428.813559322034,3793
6971.428571428571,3904
4832.65306122449,2368
6643.636363636363,3654
6446.808510638299,3030
5250.877192982457,2993
5574.999999999999,3122
6170.212765957447,2900
5192.982456140351,2960
5446.428571428571,3050
5754.385964912281,3280
5714.285714285714,3200
5563.636363636363,3060
5624.999999999999,3150
5672.413793103448,3290
5620.689655172414,3260
5894.736842105263,3360
5637.931034482759,3270
5545.454545454545,3050
6732.142857142857,3770
6509.433962264151,3450
6814.814814814815,3680
6872.727272727272,3780
7166.666666666666,3870
6703.7037037037035,3620
7296.296296296296,3940
7199.999999999999,3960
7290.90909090909,4010
6763.636363636363,3720
6309.090909090909,3470
5266.666666666667,2370
8395.833333333334,4030
10021.739130434782,4610
7978.260869565217,3670
7055.555555555555,3810
6818.181818181818,3750
7824.561403508773,4460
7290.90909090909,4010
5240,2620
6701.754385964913,3820
5928.571428571428,3320
6018.518518518518,3250
10337.931034482759,2998
10445.454545454544,3447
10596.969696969696,3497
10483.870967741936,3250
9733.333333333334,2920
7196.428571428571,4030
6489.36170212766,3050
5239.130434782608,2410
6169.811320754717,3270
5673.469387755102,2780
5638.888888888889,2030
8625,4830
8666.666666666668,4160
6339.622641509433,3360
9062.5,4350
865.9574468085107,407
7934.782608695652,3650
5567.5675675675675,2060
6580.645161290323,2040
4116.216216216217,1523
4636.363636363636,1530
4636.363636363636,1530
5776.666666666667,1733
5200,1560
